site	time	observer	date	type	sample	plant	replicate	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	treatment	notes
Lagg	N	AA	2022-07-21	floral	599	599		21:24	21:54	22:09	0:30	0:15	1	0	DRC9	5.3	ambient	
Lagg	N	AA	2022-07-21	floral	615	615		21:26	21:56	22:11	0:30	0:15	1	0	DRC3	5.8	nitrogen	
Lagg	N	AA	2022-07-21	floral	616	616		21:41	22:15	22:30	0:34	0:15	1	0	DRC3	3.9	water control	
Lagg	N	AA	2022-07-21	floral	607	607		21:43	22:17	22:32	0:34	0:15	1	0	DRC9	7.4	ambient	
Lagg	N	AA	2022-07-21	floral	608	608		21:45	22:19	22:34	0:34	0:15	1	0	DRC10	4.4	nitrogen	
Lagg	N	AA	2022-07-21	floral	near85	notag85		22:04	22:35	22:50	0:31	0:15	1	0	DRC3	2.6	ambient	Located near 85
Lagg	N	AA	2022-07-21	ambient	airAA			22:06	22:38	22:53	0:32	0:15			DRC10			
Lagg	D	JP	2022-07-21	floral	283	283		9:32	10:04	10:19	0:32	0:15	1	0	DRC5	5.8	ambient	
Lagg	D	JP	2022-07-21	floral	281	281		9:34	10:06	10:21	0:32	0:15	1	0	JMP1	5.4	ambient	
Lagg	D	JP	2022-07-21	floral	574	574		9:36	10:07	10:23	0:31	0:16	1	0	JMP3	7.5	water control	
Lagg	D	JP	2022-07-21	floral	598A	598	A	9:38	10:10	10:24	0:32	0:14	1	0	JMP2	6.4	ambient	
Lagg	D	JP	2022-07-21	floral	332	332		10:13	10:48	11:03	0:35	0:15	1	0	DRC5	5.7	ambient	
Lagg	D	JP	2022-07-21	floral	334	334		10:16	10:51	11:06	0:35	0:15	1	0	JMP1	4.7	ambient	
Lagg	D	JP	2022-07-21	floral	337	337		10:19	10:51	11:06	0:32	0:15	1	0	JMP2	4.1	ambient	
Lagg	D	JP	2022-07-21	floral	341	341		10:21	10:53	11:08	0:32	0:15	1	0	JMP3	6.2	ambient	
Lagg	D	JP	2022-07-21	floral	563	563		10:38	11:12	11:28	0:34	0:16	1	0	DRC5	6.5	ambient	trap fell out; flower fell off @ 11:25
Lagg	D	JP	2022-07-21	floral	293	293		10:41	11:15	11:30	0:34	0:15	1	0	JMP2	7.3	ambient	trap fell out twice; stopped @11:50
Lagg	D	JP	2022-07-21	floral	562	562		10:45	11:18	11:33	0:33	0:15	1	1	JMP3	6.2	water control	
Lagg	D	JP	2022-07-21	ambient	airJP			10:52	11:22	11:37	0:30	0:15			JMP1			
Lagg	D	JP	2022-07-21	floral	2100	2100		11:20	11:51	12:08	0:31	0:17	1	1	JMP2	6.9	ambient	
Lagg	D	JP	2022-07-21	floral	297	297		11:41	12:11	12:26	0:30	0:15	1	0	DRC5	5.8	ambient	
Lagg	N	JP	2022-07-21	floral	281	281		20:44	21:26	21:41	0:42	0:15	1	0	JMP1	5.7	ambient	
Lagg	N	JP	2022-07-21	floral	283	283		20:46	21:27	21:42	0:41	0:15	1	0	JMP2	4.9	ambient	
Lagg	N	JP	2022-07-21	floral	341	341		20:48	21:29	21:44	0:41	0:15	1	0	JMP3	7.5	ambient	
Lagg	N	JP	2022-07-21	floral	566	566		21:15	21:48	22:08	0:33	0:20	1	0	JMP1	6	nitrogen	
Lagg	N	JP	2022-07-21	floral	554	554		21:19	21:51	22:10	0:32	0:19	1	0	JMP2	5.1	ambient	
Lagg	N	JP	2022-07-21	floral	550	550		21:21	21:56	22:11	0:35	0:15	1	0	JMP3	4.7	water control	
Lagg	N	JP	2022-07-21	floral	543	543		22:00	22:30	22:45	0:30	0:15	1	0	JMP1	8.4	nitrogen	
Lagg	N	JP	2022-07-21	ambient	airJP2			22:03	22:33	22:48	0:30	0:15			JMP2			pump died, recalibrated and ran 15 min; JP added JP2
Lagg	N	JP	2022-07-21	floral	540	540		22:17	22:53	23:08	0:36	0:15	1	0	JMP3	4.1	nitrogen	
Lagg	N	JP	2022-07-21	floral	415	415		22:19	22:55	23:10	0:36	0:15	1	0	JMP2	5.3	ambient	
Lagg	D	JB	2022-07-21	floral	540	540		9:38	10:08	10:23	0:30	0:15	1	0	DRC10	6.4	nitrogen	
