filename	site	time	date	type	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index
L33DJul20_09032017	Lagg	D	2017-07-20	floral	33	3	8:59	9:29	9:44	0:30	0:15	1	0	DRC3		93
L48DJul20_09032017	Lagg	D	2017-07-20	floral	48	8	9:16	9:46	10:01	0:30	0:15	1	0	DRC1		117
L24DJul20_09022017	Lagg	D	2017-07-20	floral	24	4	9:20	9:50	10:05	0:30	0:15	1	0	DRC2		82
L31DJul20_09022017	Lagg	D	2017-07-20	floral	31	1	9:28	9:56	10:13	0:28	0:17	1	0	DRC3		91
L47DJul20_09022017	Lagg	D	2017-07-20	floral	47	7	9:36	10:07	10:22	0:31	0:15	1	0	DRC1		115
L25DJul20_09022017	Lagg	D	2017-07-20	floral	25	5	9:40	10:10	10:25	0:30	0:15	1	0	DRC2		84
L30DJul20_09022017	Lagg	D	2017-07-20	floral	30	0	9:48	10:18	10:36	0:30	0:18	1	0	DRC3		90
L46DJul20_09032017	Lagg	D	2017-07-20	floral	46	6	9:56	10:07	10:22	0:11	0:15	1	0	DRC1		113
L26DJul20_09022017	Lagg	D	2017-07-20	floral	26	6	10:00	10:30	10:45	0:30	0:15	1	0	DRC2		86
L29DJul20_09032017	Lagg	D	2017-07-20	floral	29	9	10:08	10:38	11:02	0:30	0:24	1	0	DRC3		88
L45DJul20_09022017	Lagg	D	2017-07-20	floral	45	5	10:16	10:46	11:01	0:30	0:15	1	0	DRC1		111
L38DJul20_09022017	Lagg	D	2017-07-20	floral	38	8	10:40	11:10	11:25	0:30	0:15	1	0	DRC2		98
L28DJul21_09012017	Lagg	D	2017-07-21	floral	28	8	8:42	9:12	9:27	0:30	0:15	1	0	DRC2		87
L44DJul21_09012017	Lagg	D	2017-07-21	floral	44	4	8:58	9:28	9:43	0:30	0:15	1	1	DRC3		109
L43DJul21_09012017	Lagg	D	2017-07-21	floral	43	3	9:17	9:47	10:02	0:30	0:15	1	0	DRC3		107
L34DJul21_09012017	Lagg	D	2017-07-21	floral	34	4	9:20	9:50	10:05	0:30	0:15	1	0	DRC2		94
L42DJul21_09012017	Lagg	D	2017-07-21	floral	42	2	9:36	10:06	10:21	0:30	0:15	1	1	DRC3		105
L35DJul21_09012017	Lagg	D	2017-07-21	floral	35	5	9:40	10:10	10:25	0:30	0:15	1	0	DRC2		95
L41DJul21_09012017	Lagg	D	2017-07-21	floral	41	1	9:55	10:25	10:40	0:30	0:15	1	0	DRC3		103
